"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"08053","505","596","117","96","524","364","1017","22","62","04-09-2022 10:00:05"
"08054","755","893","154","162","824","508","1456","26","166","04-09-2022 10:00:05"
"08055","851","944","184","148","754","709","1688","23","84","04-09-2022 10:00:05"
"08056","731","782","169","143","830","371","1296","22","195","04-09-2022 10:00:05"
"08057","609","706","123","149","696","347","1141","20","154","04-09-2022 10:00:05"
"08058","763","879","168","175","937","362","1384","32","226","04-09-2022 10:00:05"
"08059","486","524","115","106","565","224","887","10","113","04-09-2022 10:00:05"
"08060","551","647","127","93","589","389","1118","10","70","04-09-2022 10:00:05"
"08061","778","849","190","163","841","433","1506","15","106","04-09-2022 10:00:05"
"08062","539","592","84","104","555","388","1065","10","56","04-09-2022 10:00:05"
"08063","499","551","84","85","439","442","981","10","59","04-09-2022 10:00:05"
"08064","866","962","229","175","986","438","1632","25","171","04-09-2022 10:00:05"
"08065","901","864","312","211","1019","223","1317","59","389","04-09-2022 10:00:05"
"08066","778","836","264","213","911","226","1232","45","337","04-09-2022 10:00:05"
"08067","873","943","247","220","1021","328","1429","46","341","04-09-2022 10:00:05"
"08068","881","980","264","206","1048","343","1368","34","459","04-09-2022 10:00:05"
"08069","743","813","218","153","881","304","1151","35","370","04-09-2022 10:00:05"
"08070","705","775","234","163","822","261","1101","36","343","04-09-2022 10:00:05"
"08071","830","891","224","190","963","344","1360","23","338","04-09-2022 10:00:05"
"08072","548","646","149","128","604","313","964","25","205","04-09-2022 10:00:05"
"08073","865","958","237","201","1090","295","1203","51","569","04-09-2022 10:00:05"
"08074","752","777","243","186","856","244","1105","38","386","04-09-2022 10:00:05"
"08075","874","1068","231","211","1101","399","1445","46","451","04-09-2022 10:00:05"
"08076","721","890","191","127","842","451","1299","42","270","04-09-2022 10:00:05"
"08077","658","743","192","159","770","280","1216","18","167","04-09-2022 10:00:05"
"08078","724","857","184","174","928","295","1160","37","384","04-09-2022 10:00:05"
"08079","665","778","208","153","839","243","1078","46","319","04-09-2022 10:00:05"
"08080","728","789","189","169","830","329","1141","45","331","04-09-2022 10:00:05"
"08081","789","871","256","190","962","252","1146","43","471","04-09-2022 10:00:05"
"08082","730","880","175","142","929","364","1206","34","370","04-09-2022 10:00:05"
"08083","625","696","163","133","739","286","944","42","335","04-09-2022 10:00:05"
"08084","505","619","131","101","592","300","938","9","177","04-09-2022 10:00:05"
"08085","749","778","186","183","884","274","1175","24","328","04-09-2022 10:00:05"
"08086","776","901","203","162","920","392","1342","46","289","04-09-2022 10:00:05"
"08087","577","645","148","115","660","299","993","21","208","04-09-2022 10:00:05"
"08088","600","687","164","130","708","285","1051","36","200","04-09-2022 10:00:05"
"08089","571","655","139","104","709","274","969","32","225","04-09-2022 10:00:05"
"08090","577","631","148","113","640","307","1000","23","185","04-09-2022 10:00:05"
"08091","571","630","102","123","649","327","988","21","192","04-09-2022 10:00:05"
"08092","473","536","102","89","492","326","858","9","142","04-09-2022 10:00:05"
"08093","617","656","158","136","669","310","1098","16","159","04-09-2022 10:00:05"
"08094","680","749","123","123","672","511","1261","23","145","04-09-2022 10:00:05"
"08095","535","567","106","121","555","320","985","22","95","04-09-2022 10:00:05"
"08096","728","813","184","167","875","315","1295","43","203","04-09-2022 10:00:05"
"08097","582","696","156","149","706","267","1092","16","170","04-09-2022 10:00:05"
"08098","594","665","155","143","692","269","1030","20","209","04-09-2022 10:00:05"
"08099","706","747","191","143","865","254","1125","46","282","04-09-2022 10:00:05"
"08100","584","729","167","127","733","286","1022","28","263","04-09-2022 10:00:05"
"08101","781","920","212","149","856","484","1480","13","208","04-09-2022 10:00:05"
"08102","702","872","172","157","818","427","1173","26","375","04-09-2022 10:00:05"
"08103","821","857","241","196","989","252","1130","37","511","04-09-2022 10:00:05"
"08104","605","668","162","129","747","235","960","23","290","04-09-2022 10:00:05"
"08105","674","744","168","165","801","284","1118","21","279","04-09-2022 10:00:05"
"08106","591","669","178","159","711","212","878","32","350","04-09-2022 10:00:05"
"08107","906","994","225","223","1081","371","1649","20","231","04-09-2022 10:00:05"
"08108","971","993","344","254","1130","236","1476","59","429","04-09-2022 10:00:05"
"08109","484","494","147","119","537","175","848","15","115","04-09-2022 10:00:05"
"08110","1001","1010","387","243","1130","251","1303","34","674","04-09-2022 10:00:05"
"08111","819","869","277","218","927","266","1156","25","507","04-09-2022 10:00:05"
"08112","846","855","286","208","914","293","1168","31","502","04-09-2022 10:00:05"
"08113","863","940","294","253","933","323","1287","28","488","04-09-2022 10:00:05"
"08114","978","1009","327","215","1068","377","1417","32","538","04-09-2022 10:00:05"
"08115","856","865","278","189","954","300","1152","28","541","04-09-2022 10:00:05"
"08116","704","719","233","155","766","269","1185","27","211","04-09-2022 10:00:05"
"08215","655","909","298","138","805","323","1263","42","259","04-09-2022 10:00:05"
"09001","1409","1278","505","319","1553","310","1678","72","937","04-09-2022 10:00:05"
"09002","1097","1080","358","250","1262","307","1446","62","669","04-09-2022 10:00:05"
"09003","1100","1047","341","236","1194","376","1500","82","565","04-09-2022 10:00:05"
"09004","821","826","241","196","922","288","1215","29","403","04-09-2022 10:00:05"
"09005","799","829","249","153","967","259","1334","47","247","04-09-2022 10:00:05"
"09006","629","649","193","138","717","230","1117","20","141","04-09-2022 10:00:05"
"09007","642","680","212","165","743","202","1087","17","218","04-09-2022 10:00:05"
"09008","934","917","403","269","1054","125","1733","24","94","04-09-2022 10:00:05"
"09009","651","750","216","156","720","309","1280","19","102","04-09-2022 10:00:05"
"09010","859","925","195","196","934","459","1606","19","159","04-09-2022 10:00:05"
"09011","792","825","212","183","881","341","1415","18","184","04-09-2022 10:00:05"
"09013","993","1079","360","265","1154","293","1503","41","528","04-09-2022 10:00:05"
"09014","1879","1594","404","412","2266","391","1628","96","1749","04-09-2022 10:00:05"
